property_id,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.county.name,property.sqft,property_age,basement,central_air,community_outdoor_space,community_security_features,dining_room,dishwasher,fireplace,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,recreation_facilities,shopping,single_story,two_or_more_stories,washer_dryer,city_mean_sale_price
9098866868,13.279368835614243,2.0,0.0,1.0,3.0,condos,2124,-71.067093,42.276917,Boston,MA,Suffolk,7.122059881629142,135.0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,14.203860991477287
3517114695,12.095146671399466,2.0,0.0,1.0,3.0,mobile,40601,-85.018948,38.187247,Frankfort,KY,Shelby,11.887869508010441,26.0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,12.489348436729408
3029367250,11.884495917930655,1.0,1.0,1.0,3.0,single_family,46226,-86.040133,39.842862,Lawrence,IN,Marion,8.967249182852276,66.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.884495917930655
8310010937,12.460718739865236,2.0,1.0,2.0,3.0,single_family,68504,-96.6605,40.854075,Lincoln,NE,Lancaster,8.910045761473558,52.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,12.722580218358145
1428251229,13.056225711649638,2.0,2.0,1.0,3.0,single_family,95833,-121.50927,38.624831,Sacramento,CA,Sacramento,8.715880102296456,40.0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,13.13856380733656
2070333820,13.112315061750808,2.0,2.0,1.0,3.0,single_family,98506,-122.883725,47.04996,Olympia,WA,Thurston,8.636929873018572,69.0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,13.099946485895329
2680165074,12.994532278619134,1.0,0.0,2.0,2.0,single_family,98502,-122.951039,47.087558,Olympia,WA,Thurston,10.681917533624532,87.0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,13.099946485895329
6005147676,12.33270970174018,2.0,2.0,2.0,4.0,single_family,29229,-80.893457,34.143723,Columbia,SC,Richland,9.16785032035523,31.0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,12.398518513382573
6378704970,12.371591321286905,2.0,0.0,1.0,3.0,single_family,32305,-84.290225,30.409578,Tallahassee,FL,Leon,10.028003427233696,55.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.655729311855971
7525447869,12.611541086966115,2.0,2.0,1.0,3.0,single_family,68516,-96.636567,40.766094,Lincoln,NE,Lancaster,9.254835611862735,51.0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,12.722580218358145
