tags,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,property.sqft,property_age
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_bathroom', 'master_bedroom']",439900.0,4.0,2.0,2.0,4.0,single_family,36117,-86.143059,32.356445,Montgomery,AL,4356.0,3.0
"['central_air', 'central_heat', 'community_outdoor_space', 'recreation_facilities', 'swimming_pool', 'single_story', 'investment_opportunity']",68250.0,2.0,0.0,1.0,3.0,single_family,36116,-86.257496,32.308274,Montgomery,AL,18731.0,57.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'granite_kitchen', 'updated_kitchen', 'private_backyard', 'vaulted_ceiling']",385000.0,4.0,2.0,2.0,4.0,single_family,36117,-86.153421,32.345345,Montgomery,AL,29621.0,38.0
"['city_view', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",139900.0,2.0,0.0,1.0,4.0,single_family,36109,-86.228626,32.389227,Montgomery,AL,26136.0,47.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'fireplace', 'single_story', 'big_yard']",115000.0,2.0,0.0,1.0,3.0,single_family,36106,-86.231634,32.339396,Montgomery,AL,17280.0,50.0
"['carport', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story']",140267.0,3.0,0.0,1.0,3.0,single_family,36111,-86.28926,32.3413,Montgomery,AL,24394.0,71.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'single_story', 'modern_kitchen', 'open_kitchen', 'master_bedroom', 'open_floor_plan', 'floor_plan']",173000.0,2.0,0.0,1.0,2.0,single_family,36116,-86.208689,32.329261,Montgomery,AL,5227.0,17.0
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",215000.0,2.0,0.0,1.0,4.0,single_family,36109,-86.24356,32.394089,Montgomery,AL,17424.0,56.0
"['hardwood_floors', 'recreation_facilities', 'single_story', 'groundscare']",161000.0,2.0,0.0,1.0,3.0,single_family,72204,-92.342816,34.727648,Little Rock,AR,7841.0,71.0
"['community_outdoor_space', 'community_security_features', 'cul_de_sac', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'big_yard', 'big_lot', 'pond', 'shopping']",359500.0,2.0,2.0,1.0,4.0,single_family,72210,-92.481808,34.716767,Little Rock,AR,16988.0,6.0
